Respondent ID,Quiz Summary,,,,Quiz Results,,,,
13109206094,59%,10/17,120/242,45%,7,6,1,0,14
13109202590,71%,12/17,72/242,67%,9,5,0,0,14
13109202497,71%,12/17,72/242,67%,9,5,0,0,14
13109201909,35%,6/17,177/242,18%,5,8,1,0,14
13109201266,71%,12/17,72/242,67%,9,4,1,0,14
13109200977,76%,13/17,45/242,80%,10,4,0,0,14
13109197478,53%,9/17,136/242,37%,6,6,2,0,14
13108985370,0%,0/17,242/242,0%,0,0,0,14,14
13075917296,65%,11/17,92/242,58%,8,5,1,0,14
13075863896,53%,9/17,136/242,37%,7,6,1,0,14
13075863023,35%,6/17,177/242,18%,5,8,1,0,14
13075859714,65%,11/17,92/242,58%,8,6,0,0,14
13075859694,88%,15/17,14/242,94%,12,2,0,0,14
13075852604,65%,11/17,92/242,58%,8,4,2,0,14
12850683101,82%,14/17,25/242,89%,11,3,0,0,14
12850646747,47%,8/17,153/242,29%,5,7,2,0,14
12850609715,53%,9/17,136/242,37%,6,6,2,0,14
12850606685,76%,13/17,45/242,80%,10,4,0,0,14
12850605378,88%,15/17,14/242,94%,12,2,0,0,14
12850604228,41%,7/17,168/242,22%,5,7,2,0,14
12850594690,71%,12/17,72/242,67%,9,4,1,0,14
12812998277,76%,13/17,45/242,80%,10,3,1,0,14
12812971933,94%,16/17,1/242,100%,13,1,0,0,14
12812954919,18%,3/17,207/242,4%,3,11,0,0,14
12812948182,47%,8/17,153/242,29%,6,6,2,0,14
12812947128,76%,13/17,45/242,80%,10,3,1,0,14
12812914995,41%,7/17,168/242,22%,5,8,1,0,14
12812904820,88%,15/17,14/242,94%,12,2,0,0,14
12784132807,88%,15/17,14/242,94%,12,2,0,0,14
12779750893,24%,4/17,201/242,7%,2,10,2,0,14
12779748757,29%,5/17,192/242,11%,5,9,0,0,14
12779697911,82%,14/17,25/242,89%,11,3,0,0,14
12779692170,71%,12/17,72/242,67%,9,4,1,0,14
12779690255,94%,16/17,1/242,100%,13,1,0,0,14
12779682341,94%,16/17,1/242,100%,13,1,0,0,14
12779680220,94%,16/17,1/242,100%,13,1,0,0,14
12779647107,76%,13/17,45/242,80%,10,4,0,0,14
12779642758,82%,14/17,25/242,89%,11,2,1,0,14
12779642728,94%,16/17,1/242,100%,13,1,0,0,14
12779642539,82%,14/17,25/242,89%,11,3,0,0,14
12779350819,94%,16/17,1/242,100%,13,1,0,0,14
12778941590,41%,7/17,168/242,22%,5,8,1,0,14
12778939108,76%,13/17,45/242,80%,10,4,0,0,14
12778938548,53%,9/17,136/242,37%,6,6,2,0,14
12778936483,76%,13/17,45/242,80%,11,3,0,0,14
12775252475,47%,8/17,153/242,29%,5,6,3,0,14
12775233934,29%,5/17,192/242,11%,3,9,2,0,14
12775233347,94%,16/17,1/242,100%,13,1,0,0,14
12775229765,53%,9/17,136/242,37%,7,6,1,0,14
12775228656,94%,16/17,1/242,100%,13,1,0,0,14
12775228632,88%,15/17,14/242,94%,12,2,0,0,14
12770620268,82%,14/17,25/242,89%,11,3,0,0,14
12770618950,53%,9/17,136/242,37%,7,6,1,0,14
12770552631,82%,14/17,25/242,89%,11,3,0,0,14
12760658026,47%,8/17,153/242,29%,5,9,0,0,14
12760655520,71%,12/17,72/242,67%,9,5,0,0,14
12760655095,59%,10/17,120/242,45%,8,6,0,0,14
12760651108,82%,14/17,25/242,89%,11,3,0,0,14
12760650709,82%,14/17,25/242,89%,11,3,0,0,14
12667664635,65%,11/17,92/242,58%,8,5,1,0,14
12667652531,76%,13/17,45/242,80%,10,4,0,0,14
12667646581,76%,13/17,45/242,80%,10,4,0,0,14
12667642522,76%,13/17,45/242,80%,10,4,0,0,14
12667640229,71%,12/17,72/242,67%,9,5,0,0,14
12654911247,82%,14/17,25/242,89%,11,3,0,0,14
12654901505,71%,12/17,72/242,67%,9,4,1,0,14
12654901169,82%,14/17,25/242,89%,11,3,0,0,14
12654701610,0%,0/17,242/242,0%,0,0,0,14,14
12654649534,29%,5/17,192/242,11%,5,9,0,0,14
12636547075,82%,14/17,25/242,89%,11,3,0,0,14
12632284605,65%,11/17,92/242,58%,8,6,0,0,14
12630739928,35%,6/17,177/242,18%,6,8,0,0,14
12630625086,71%,12/17,72/242,67%,10,4,0,0,14
12630621001,88%,15/17,14/242,94%,12,2,0,0,14
12630595583,65%,11/17,92/242,58%,8,5,1,0,14
12630511164,53%,9/17,136/242,37%,6,5,3,0,14
12630500965,53%,9/17,136/242,37%,7,7,0,0,14
12630491007,71%,12/17,72/242,67%,10,4,0,0,14
12630488068,76%,13/17,45/242,80%,10,3,1,0,14
12630484090,59%,10/17,120/242,45%,7,7,0,0,14
12630482825,76%,13/17,45/242,80%,10,4,0,0,14
12630457589,76%,13/17,45/242,80%,10,3,1,0,14
12630454048,88%,15/17,14/242,94%,12,2,0,0,14
12630270578,94%,16/17,1/242,100%,13,1,0,0,14
12630267422,71%,12/17,72/242,67%,9,5,0,0,14
12630250036,0%,0/17,242/242,0%,0,0,0,14,14
12630150215,24%,4/17,201/242,7%,4,10,0,0,14
12630108190,47%,8/17,153/242,29%,5,7,2,0,14
12630106886,71%,12/17,72/242,67%,9,4,1,0,14
12630106614,18%,3/17,207/242,4%,3,11,0,0,14
12630078367,82%,14/17,25/242,89%,11,3,0,0,14
12630063140,65%,11/17,92/242,58%,8,5,1,0,14
12630061901,53%,9/17,136/242,37%,6,5,3,0,14
12630043955,53%,9/17,136/242,37%,6,5,3,0,14
12630042181,76%,13/17,45/242,80%,10,4,0,0,14
12630041413,94%,16/17,1/242,100%,13,1,0,0,14
12630039372,88%,15/17,14/242,94%,12,2,0,0,14
12630038341,76%,13/17,45/242,80%,10,4,0,0,14
12630036066,82%,14/17,25/242,89%,11,3,0,0,14
12597112235,0%,0/17,242/242,0%,0,0,0,14,14
12591074802,0%,0/17,242/242,0%,0,0,0,14,14
12589955677,59%,10/17,120/242,45%,7,7,0,0,14
12589910682,76%,13/17,45/242,80%,10,4,0,0,14
12589879253,76%,13/17,45/242,80%,10,4,0,0,14
12589871439,82%,14/17,25/242,89%,11,3,0,0,14
12587574713,35%,6/17,177/242,18%,4,8,2,0,14
12587541581,65%,11/17,92/242,58%,9,5,0,0,14
12587533293,82%,14/17,25/242,89%,11,3,0,0,14
12587530705,59%,10/17,120/242,45%,7,6,1,0,14
12587528667,47%,8/17,153/242,29%,5,7,2,0,14
12587527425,47%,8/17,153/242,29%,5,7,2,0,14
12587518295,53%,9/17,136/242,37%,6,8,0,0,14
12587517122,53%,9/17,136/242,37%,7,5,2,0,14
12587513435,82%,14/17,25/242,89%,11,3,0,0,14
12587498761,65%,11/17,92/242,58%,8,4,2,0,14
12587497634,65%,11/17,92/242,58%,8,4,2,0,14
12587487814,76%,13/17,45/242,80%,10,4,0,0,14
12575580308,0%,0/17,242/242,0%,0,0,0,14,14
12572424355,35%,6/17,177/242,18%,6,8,0,0,14
12572404672,35%,6/17,177/242,18%,6,8,0,0,14
12572391957,35%,6/17,177/242,18%,6,8,0,0,14
12572375103,29%,5/17,192/242,11%,5,9,0,0,14
12572269193,35%,6/17,177/242,18%,6,8,0,0,14
12555857586,76%,13/17,45/242,80%,10,4,0,0,14
12523436507,47%,8/17,153/242,29%,6,6,2,0,14
12523416160,82%,14/17,25/242,89%,11,3,0,0,14
12523397483,76%,13/17,45/242,80%,10,4,0,0,14
12523372971,65%,11/17,92/242,58%,8,5,1,0,14
12523305398,65%,11/17,92/242,58%,8,5,1,0,14
12523278060,65%,11/17,92/242,58%,9,5,0,0,14
12523253543,88%,15/17,14/242,94%,12,2,0,0,14
12522799487,71%,12/17,72/242,67%,9,5,0,0,14
12413854842,59%,10/17,120/242,45%,7,4,3,0,14
12413854384,71%,12/17,72/242,67%,9,5,0,0,14
12413849563,18%,3/17,207/242,4%,3,11,0,0,14
12413849374,59%,10/17,120/242,45%,7,4,3,0,14
12413843120,35%,6/17,177/242,18%,3,8,3,0,14
12413842787,35%,6/17,177/242,18%,5,8,1,0,14
12413835943,24%,4/17,201/242,7%,1,10,3,0,14
12413832979,29%,5/17,192/242,11%,5,9,0,0,14
12413832478,24%,4/17,201/242,7%,4,10,0,0,14
12413832292,41%,7/17,168/242,22%,4,7,3,0,14
12413830265,88%,15/17,14/242,94%,12,2,0,0,14
